symbol,address,decimals,chainId,dune
wBTCN,0xda5dDd7270381A7C2717aD10D1c0ecB19e3CDFb2,18,21000000,
USDT0,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,6,21000000,
LBTC,0xecAc9C5F704e954931349Da37F60E39f515c11c1,8,21000000,
pumpBTC,0xF469fBD2abcd6B9de8E169d128226C0Fc90a012e,8,21000000,
uniBTC,0x93919784C523f39CACaa98Ee0a9d96c3F32b593e,8,21000000,
stBTC,0xf6718b2701D4a6498eF77D7c152b2137Ab28b8A3,18,21000000,
enzoBTC,0x6A9A65B84843F5fD4aC9a0471C4fc11AFfFBce4a,8,21000000,
solvBTC,0x541FD749419CA806a8bc7da8ac23D346f2dF8B77,18,21000000,
xSolvBTC,0xCC0966D8418d412c599A6421b760a847eB169A8c,18,21000000,
waBTC,0x09DEF5aBc67e967d54E8233A4b5EBBc1B3fbE34b,18,21000000,
aBTC,0x76b0D27F268f405584ACA51b371b144dD5b0a155,18,21000000,
weETH,0x85aDfA60dDf86b67E6fD493Bd2c774b2eD772D14,18,21000000,
CRV,0x1b3757d5EE281Eaf6a9c8E5D9b8488b4475Aa955,18,21000000,
crvUSD,0xEAEdD2B1b3F0fEC6388A4d6b2fE500B59Fd9f755,18,21000000,
USDC.e,0xDF0B24095e15044538866576754F3C964e902Ee6,6,21000000,
BTCN,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,21000000,
uniBTC,0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,8,1,
YBTC,0x4b6d20acfc764ef6b60f0339e7cbad83284e7d6e,8,1,
LBTC,0x8236a87084f8b84306f72007f36f2618a5634494,8,1,
xSolvBTC,0xd9D920AA40f578ab794426F5C90F6C731D159DEf,18,1,
SolvBTC,0x7A56E1C57C7475CCf742a1832B028F0456652F97,18,1,
pumpBTC,0xF469fBD2abcd6B9de8E169d128226C0Fc90a012e,8,1,
stBTC,0xf6718b2701D4a6498eF77D7c152b2137Ab28b8A3,18,1,
waBTC,0x09DEF5aBc67e967d54E8233A4b5EBBc1B3fbE34b,18,1,
mBTC,0xbdf245957992bfbc62b07e344128a1eec7b7ee3f,8,1,
kBTC,0x9356f6d95b8E109F4b7Ce3E49D672967d3B48383,18,1,
USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,6,1,
wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,18,1,
WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,1,
oBTC,0xb1e12802831da99d2d47b6a55049d69bf7de0e3c,8,1,
satUniBTC,0xF7De2B7afdb07AA5dD143180Ed758165821E076e,8,1,
satSolvBTC,0x17140b69FfaDfF9e87BF1D86D99119ee10AD24ff,18,1,
satLBTC,0x067e11Ac5471C853aea205B3C1933a5f6367152F,8,1,
satFBTC,0xe2C6755C10d0B61D8B11Dd2851AE8266Cea912DC,8,1,
FBTC,0xC96dE26018A54D51c097160568752c4E3BD6C364,8,1,
satWBTC,0x69223B5B36a785Ec08e5f685fd7961399982C566,8,1,
WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8,1,
satStBTC,0xFF2858Cc8227aA45a51c8961598Edc2d44B5ee5b,18,1,
satPumpBTC,0x0c4dd69705D16d91bC9C0534Cc926966f23430c7,8,1,
eBTC,0x657e8c867d8b37dcc18fa4caead9c45eb088c642,8,1,
BABY,0xe53dCec07d16D88e386AE0710E86d9a400f83c31,6,1,
XION,uxion,6,xion-testnet-2,
OSMO,ibc/13B2C536BB057AC79D5616B8EA1B9540EC1F2170718CAFF6F0083C966FFFED0B,6,xion-testnet-2,
USDC,ibc/6490A7EAB61059BFC1CDDEB05917DD70BDF3A611654162A1A47DB930D40D8AF4,6,xion-testnet-2,
BABY,ubbn,6,bbn-test-5,
uniBTCd,bbn1nznl7srgmtx9juevnrasr2srslqzze3083g30w8ug96f96rjpeuqg8f6uw,6,bbn-test-5,
